uid,course1,course2,course3,course4
u00,na,na,na,na
u01,ENGS 069,ENGS 022,ANTH 012,na
u02,COSC 077,COSC 098,COSC 065,na
u03,COSC 057,COSC 065,na,na
u04,COSC 065,na,na,na
u05,COSC 050,PSYC 028,COSC 065,na
u07,COSC 077,COSC 060,COSC 065,na
u08,CHIN 062,COSC 089 1,COSC 065,na
u09,ANTH 050,COSC 065,COSC 099,na
u10,COSC 050,BIOL 004,COSC 065,na
u12,COSC 089 1,COSC 050,TUCK 003,COSC 065
u13,COSC 070,COSC 065,na,na
u14,COSC 065,COSC 027,COSC 020,na
u15,EARS 003,SPAN 003,COSC 065,na
u16,COSC 065,COSC 027,na,na
u17,COSC 089 1,MUS 016,COSC 065,na
u18,COSC 089 1,CHIN 033,TUCK 003,COSC 065
u19,COSC 050,COSC 065,FILM 051,na
u20,COSC 070,COSC 065,na,na
u22,COSC 050,NAS 035,COSC 065,na
u23,COSC 070,COSC 065,na,na
u24,M&SS 045,COSC 060,COSC 065,na
u25,NAS 008,COSC 065,ENGL 028,na
u27,ECON 024,JAPN 033,FILM 042,COSC 065
u30,MUS 003,COSC 050,COSC 065,na
u31,MUS 003,COSC 077,COSC 065,na
u32,MATH 023,COSC 069,COSC 065,na
u33,ENGS 025,ENGS 069,ENGS 093,na
u34,COSC 070,COSC 065,na,na
u35,COSC 070,COSC 065,na,na
u36,na,na,na,na
u39,na,na,na,na
u41,COSC 050,SPAN 002,COSC 065,na
u42,COSC 070,COSC 065,na,na
u43,ENGS 031,COSC 065,na,na
u44,COSC 060,COSC 065,na,na
u45,COSC 070,COSC 065,na,na
u46,ECON 036,COSC 050,COSC 065,na
u47,COSC 060,COSC 065,na,na
u49,MATH 013,LAT 003,COSC 065,na
u50,COSC 060,COSC 065,na,na
u51,COSC 070,COSC 065,na,na
u52,BIOL 006,COSC 050,COSC 065,na
u53,COSC 089 1,COSC 065,na,na
u54,ENGS 025,MATH 023,COSC 065,na
u56,na,na,na,na
u57,COSC 098,COSC 060,COSC 065,na
u58,COSC 070,COSC 065,na,na
u59,GERM 001,COSC 065,COSC 007,na
